"id","question","option1","option2","option3","option4","correctOption"
1,"Vilken av följande är inte en typ av cell i kroppen?","Hudcell","Röd blodkropp","Benvävnad","DNA","DNA"
2,"Vad bygger celler upp i kroppen?","Allt","Vävnader","Skelett","Blod","Allt"
3,"Vad är huvudfunktionen för nervceller?","Att transportera syre","Att skicka signaler","Att bryta ner mat","Att skydda huden","Att skicka signaler"
4,"Vilken del av cellen innehåller DNA?","Cellvätskan","Cellkärnan","Cellmembranet","Mitokondrien","Cellkärnan"
5,"Vad kallas den vävnad som bildar muskler?","Bindväv","Muskelvävnad","Hudvävnad","Blodvävnad","Muskelvävnad"
6,"Vilken celltyp ansvarar för rörelse?","Fettcell","Blodkropp","Nervcell","Muskelcell","Muskelcell"
7,"Vad skyddar cellmembranet?","Kroppen","Cellens inre","Organen","Huden","Cellens inre"
8,"Vilken av följande är ett organ?","Håret","Blod","Hudceller","Hjärna","Hjärna"
9,"Vad är rörelsesystemets huvudsakliga funktion?","Att transportera blod","Att möjliggöra rörelse","Att skydda huden","Att reglera temperatur","Att möjliggöra rörelse"
10,"Vilket organ tillhör cirkulationssystemet?","Huden","Hjärnan","Hjärtat","Njurarna","Hjärtat"
11,"Vilken funktion har leder?","Att skydda organ","Att möjliggöra rörelse","Att producera fett","Att ge huden färg","Att möjliggöra rörelse"
12,"Vilket organsystem ansvarar för näringsupptag?","Nervsystemet","Andningssystemet","Matsmältningssystemet","Rörelsesystemet","Matsmältningssystemet"
13,"Vad skyddar nervsystemet?","Ben","Muskler","Hud","Ryggmärg","Ryggmärg"
14,"Vilken funktion har njurarna?","Att pumpa blod","Att filtrera slagprodukter","Att skydda kroppen","Att skicka signaler","Att filtrera avfall"
15,"Vilket är hudens yttersta lager?","Läderhud","Underhud","Överhud","Pigmenthud","Överhud"
16,"Vad skyddar huden oss mot?","Virus och bakterier","Blodförlust","Svält","Vävnadsskador","Virus och bakterier"
17,"Vad heter pigmentet i huden?","Melanin","Keratin","Hemoglobin","Myoglobin","Melanin"
18,"Vilken funktion har svett?","Att ge huden näring","Att kyla kroppen","Att skydda mot UV-strålning","Att stärka skelettet","Att kyla kroppen"
19,"Vilken av följande är inte ett lager i huden?","Läderhud","Underhud","Skelettmembran","Överhud","Skelettmembran"
20,"Vad skyddar pigmentet melanin mot?","Kyla","UV-strålning","Tryck","Infektioner","UV-strålning"
21,"Vad bildar talgkörtlar?","Fett","Keratin","Blod","Svett","Fett"
22,"Vilken muskeltyp är viljestyrd?","Hjärtmuskeln","Glatta muskler","Skelettmuskler","Blodkärlsmuskler","Skelettmuskler"
23,"Vad är huvudfunktionen för glatta muskler?","Att dra ihop huden","Att hjälpa matsmältningen","Att böja leder","Att röra skelettet","Att hjälpa matsmältningen"
24,"Vad arbetar muskler med tillsammans?","Hud","Celler","Skelett","Blodkärl","Skelett"
25,"Vilken muskeltyp styrs av hjärnan automatiskt?","Skelettmuskler","Hjärtmuskeln","Hudmuskler","Tarmmuskler","Hjärtmuskeln"
26,"Vad gör en muskel när den arbetar?","Blir längre","Blir kortare","Blir starkare","Försvinner","Blir kortare"
27,"Vilken av följande är inte en muskeltyp?","Hjärtmuskel","Glatta muskler","Skelettmuskler","Hudmuskler","Hudmuskler"
28,"Vad händer när en muskel blir trött?","Den slutar fungera","Den producerar mjölksyra","Den blir starkare","Den växer","Den producerar mjölksyra"
29,"Vilken funktion har brosk i leder?","Att göra ben starkare","Att minska friktion","Att skydda huden","Att binda muskler","Att minska friktion"
30,"Vilket är kroppens största ben?","Nyckelben","Skulderblad","Lårben","Revben","Lårben"
31,"Vad är en gångjärnsled?","En led som bara böjer sig åt ett håll","En led som rör sig i alla riktningar","En stel led","En led i hjärnan","En led som bara böjer sig åt ett håll"
32,"Vilken del skyddar hjärnan?","Skallen","Revben","Ryggmärgen","Nyckelbenet","Skallen"
33,"Vad är ett exempel på ett kort ben?","Lårben","Vristben","Nyckelben","Skulderblad","Vristben"
34,"Vilken funktion har skelettet?","Att producera blod","Att lagra fett","Att skydda muskler","Att stödja kroppen","Att stödja kroppen"
35,"Vad finns mellan skelettbenen?","Fett","Muskler","Leder","Celler","Leder"
36,"Vilket organ är en del av kroppens försvar?","Hjärtat","Njurarna","Huden","Magsäcken","Huden"
37,"Vad är huvudfunktionen för blodomloppet?","Att transportera näring och syre","Att skydda mot infektion","Att lagra energi","Att bryta ner fett","Att transportera näring och syre"
38,"Vad finns i blodet för att bekämpa infektioner?","Röda blodkroppar","Plasma","Vita blodkroppar","Fettceller","Vita blodkroppar"
39,"Vilket organ filtrerar blodet?","Hjärtat","Njurarna","Magen","Lungan","Njurarna"
40,"Vad är slemhinnors funktion?","Att transportera syre","Att skydda kroppen","Att stärka skelettet","Att ge huden färg","Att skydda kroppen"
41,"Vilket organ är inte en del av blodomloppet?","Hjärtat","Artärer","Njuren","Kapillärer","Njuren"
42,"Vad händer om blodcirkulationen stannar?","Inget","Celler dör","Kroppen blir starkare","Man får feber","Celler dör"
43,"Vad bildas i huden när man solar?","Melanin","Keratin","Blod","Kollagen","Melanin"
44,"Vad är träningsvärk?","Muskler som är slitna","En inflammation","Brist på syre","För lite vatten","Muskler som är slitna"
45,"Hur skyddar huden oss mot bakterier?","Med talg och svett","Med fettlager","Med bindväv","Med blodkärl","Med talg och svett"
46,"Vilket organsystem reglerar kroppstemperatur?","Blodomloppet","Hud och svettkörtlar","Matsmältningssystemet","Skelettet","Hud och svettkörtlar"
47,"Vad kallas de körtlar som bildar svett?","Talgkörtlar","Svettkörtlar","Pigmentkörtlar","Blodkörtlar","Svettkörtlar"
